"item","lowers","normed_responses"
"coffee maker",0,0.00394425443541116
"coffee maker",4,0.00566290387321734
"coffee maker",8,0.00825676850536135
"coffee maker",12,0.0128170636252316
"coffee maker",16,0.016825062585583
"coffee maker",20,0.0252551834871954
"coffee maker",24,0.028468923991368
"coffee maker",28,0.0287662881619652
"coffee maker",32,0.0282906782393822
"coffee maker",36,0.0298574213919862
"coffee maker",40,0.0289804109562303
"coffee maker",44,0.0294934077950995
"coffee maker",48,0.0282267499972963
"coffee maker",52,0.027150810280172
"coffee maker",56,0.0263590035097067
"coffee maker",60,0.0281826763029633
"coffee maker",64,0.0279055635543465
"coffee maker",68,0.0278411275661919
"coffee maker",72,0.0278729305091271
"coffee maker",76,0.0260779123427457
"coffee maker",80,0.025504052957576
"coffee maker",84,0.0244726498427457
"coffee maker",88,0.0245886104865853
"coffee maker",92,0.0244622094919612
"coffee maker",96,0.0245026711395991
"coffee maker",100,0.0215246465554349
"coffee maker",104,0.018590665797836
"coffee maker",108,0.0178546907780941
"coffee maker",112,0.0171993717256383
"coffee maker",116,0.0162494284404094
"coffee maker",120,0.0160224797974072
"coffee maker",124,0.0153063570140879
"coffee maker",128,0.0146233597944038
"coffee maker",132,0.0137848051705444
"coffee maker",136,0.0143326737593802
"coffee maker",140,0.0134490255028661
"coffee maker",144,0.0135790032064503
"coffee maker",148,0.0138226943563312
"coffee maker",152,0.0131925119561275
"coffee maker",156,0.0126370445876965
"coffee maker",160,0.0106890591752964
"coffee maker",164,0.0106020628239155
"coffee maker",168,0.0101185949533398
"coffee maker",172,0.00911819843666944
"coffee maker",176,0.0106104999317876
"coffee maker",180,0.0109322919246626
"coffee maker",184,0.0107129834142186
"coffee maker",188,0.00837168284710854
"coffee maker",192,0.0080750721559225
"coffee maker",196,0.00804082264332751
"coffee maker",200,0.0067313619453682
"coffee maker",204,0.00627460791368519
"coffee maker",208,0.00589113687110393
"coffee maker",212,0.00540523790626922
"coffee maker",216,0.00552727879179031
"coffee maker",220,0.00550309276614945
"coffee maker",224,0.00523220007943591
"coffee maker",228,0.00511881990396121
"coffee maker",232,0.00512531318796172
"coffee maker",236,0.00518250532794681
"coffee maker",240,0.00363644079549071
"coffee maker",244,0.00358121922955672
"coffee maker",248,0.00340485508432679
"coffee maker",252,0.00300204070158435
"coffee maker",256,0.00285900767263514
"coffee maker",260,0.00307193123371249
"coffee maker",264,0.00265238954722026
"coffee maker",268,0.00259519926379722
"headphones",0,0.0100932350462178
"headphones",6,0.0170242011533158
"headphones",12,0.0239368832461044
"headphones",18,0.0287274552724317
"headphones",24,0.0335581038692007
"headphones",30,0.0340978261675896
"headphones",36,0.0343161232972866
"headphones",42,0.0360390185911639
"headphones",48,0.036657423324831
"headphones",54,0.0363628055611882
"headphones",60,0.0363696076759004
"headphones",66,0.0349562074307856
"headphones",72,0.034074002420704
"headphones",78,0.0319526478383908
"headphones",84,0.0310094760253021
"headphones",90,0.0310633591664631
"headphones",96,0.0306213012447122
"headphones",102,0.0267011137913525
"headphones",108,0.0258670033914898
"headphones",114,0.0258502350122376
"headphones",120,0.025023519418377
"headphones",126,0.023483875551852
"headphones",132,0.0220028560428636
"headphones",138,0.0214970268323533
"headphones",144,0.0208370797134518
"headphones",150,0.0179036695749784
"headphones",156,0.0171528323730662
"headphones",162,0.0146789727474624
"headphones",168,0.0151970966046565
"headphones",174,0.0144002087359724
"headphones",180,0.0133747582315602
"headphones",186,0.0123806405169515
"headphones",192,0.0120269613954518
"headphones",198,0.0114214380586013
"headphones",204,0.0119920388378585
"headphones",210,0.011383038780713
"headphones",216,0.0113361342839428
"headphones",222,0.0109751373856222
"headphones",228,0.00862772988748631
"headphones",234,0.00849834370871022
"headphones",240,0.00929436665963529
"headphones",246,0.00977137935316548
"headphones",252,0.00855300304060609
"headphones",258,0.00704341088484788
"headphones",264,0.00760242506144268
"headphones",270,0.0066676293070587
"headphones",276,0.00664151547908964
"headphones",282,0.00631842654192989
"headphones",288,0.00633866335810551
"headphones",294,0.00617281009506307
"headphones",300,0.00588389192288987
"headphones",306,0.00480853638779448
"headphones",312,0.00438645078845164
"headphones",318,0.00381072308793509
"headphones",324,0.00323537982338538
"laptop",0,0.00143805356403561
"laptop",50,0.00271785465081783
"laptop",100,0.00606278580557322
"laptop",150,0.00969025393738191
"laptop",200,0.0148967448541453
"laptop",250,0.0198125393878057
"laptop",300,0.0241329166751748
"laptop",350,0.0295996079491818
"laptop",400,0.0330742235328304
"laptop",450,0.0361264464785417
"laptop",500,0.0401533300800443
"laptop",550,0.0409948060761354
"laptop",600,0.0413284234227614
"laptop",650,0.0403647740154393
"laptop",700,0.0401794950623575
"laptop",750,0.0389208352425967
"laptop",800,0.0381211282626673
"laptop",850,0.0380271843819898
"laptop",900,0.0337130710333348
"laptop",950,0.0320869893997556
"laptop",1000,0.0303954589742173
"laptop",1050,0.0290371975286599
"laptop",1100,0.026737673556754
"laptop",1150,0.0259385656770147
"laptop",1200,0.0246868317621353
"laptop",1250,0.0229019589247208
"laptop",1300,0.0214921049215865
"laptop",1350,0.0206506505418053
"laptop",1400,0.0194727089077923
"laptop",1450,0.0192606778139999
"laptop",1500,0.016502461425033
"laptop",1550,0.015779852769427
"laptop",1600,0.014573698680051
"laptop",1650,0.0141934767007475
"laptop",1700,0.0128416097234241
"laptop",1750,0.0124983882714321
"laptop",1800,0.011580082968956
"laptop",1850,0.0111057181921517
"laptop",1900,0.0107390517842162
"laptop",1950,0.0097877804629936
"laptop",2000,0.00869628232285698
"laptop",2050,0.00796157687645315
"laptop",2100,0.00781439122831209
"laptop",2150,0.0074127159955819
"laptop",2200,0.00686298004874477
"laptop",2250,0.00667898701991275
"laptop",2300,0.00628316286073362
"laptop",2350,0.00606433685126466
"laptop",2400,0.00552579230999036
"laptop",2450,0.00508236108646155
"sweater",0,0.00482838499944466
"sweater",3,0.00832934578733181
"sweater",6,0.0112952500492109
"sweater",9,0.0173774790108894
"sweater",12,0.0232006658974883
"sweater",15,0.0258422772579257
"sweater",18,0.0278986695293033
"sweater",21,0.0295289411585088
"sweater",24,0.0306833716679902
"sweater",27,0.0318318597751272
"sweater",30,0.0337834568516467
"sweater",33,0.0339921053872795
"sweater",36,0.0344439315108449
"sweater",39,0.033934432265521
"sweater",42,0.032462878943956
"sweater",45,0.031189466255733
"sweater",48,0.0308771801297135
"sweater",51,0.028870440122745
"sweater",54,0.0268081450723193
"sweater",57,0.0255858806436071
"sweater",60,0.0251329374896422
"sweater",63,0.0228478370318916
"sweater",66,0.0204321414255458
"sweater",69,0.0198885290723185
"sweater",72,0.018227461808914
"sweater",75,0.0175834655975716
"sweater",78,0.0162564776853142
"sweater",81,0.0157731201439098
"sweater",84,0.0152929182194243
"sweater",87,0.0150019091787104
"sweater",90,0.0149289099733278
"sweater",93,0.0141896849640091
"sweater",96,0.0139276040018639
"sweater",99,0.0134566451556076
"sweater",102,0.0121362548659773
"sweater",105,0.0108558348756676
"sweater",108,0.010613387912742
"sweater",111,0.010091436302254
"sweater",114,0.0098485635160309
"sweater",117,0.00934441306894098
"sweater",120,0.0085581357559821
"sweater",123,0.00679765980394746
"sweater",126,0.00693786098620408
"sweater",129,0.00696322949112243
"sweater",132,0.0070065216834756
"sweater",135,0.00642780104088309
"sweater",138,0.0064321559380608
"sweater",141,0.00656481702666307
"sweater",144,0.0062031359060876
"sweater",147,0.00687959185242292
"sweater",150,0.00510183619524203
"sweater",153,0.00519749642756681
"sweater",156,0.00498195289503402
"sweater",159,0.00463848039694862
"sweater",162,0.00446827225938831
"sweater",165,0.00434243838506282
"sweater",168,0.00454705086043589
"sweater",171,0.0045914966088052
"sweater",174,0.00451510979961212
"sweater",177,0.00443992782954235
"sweater",180,0.00329590488378491
"sweater",183,0.00349426470729333
"sweater",186,0.00329078051712042
"sweater",189,0.00323849270094039
"sweater",192,0.00302968185434419
"sweater",195,0.00294213735024183
"sweater",198,0.00335510797297302
"sweater",201,0.00328341117067163
"sweater",204,0.00329874147186505
"sweater",207,0.00306305447627786
"sweater",210,0.00262071902879654
"sweater",213,0.00274925007756808
"sweater",216,0.00246374710845232
"sweater",219,0.00262910011008071
"sweater",222,0.00248819809733968
"sweater",225,0.00211124548886266
"sweater",228,0.00204178897873852
"sweater",231,0.00208550762922333
"sweater",234,0.00204890779502054
"sweater",237,0.00228129283166782
"watch",0,0.040844560268751
"watch",50,0.0587099798246933
"watch",100,0.0656194599591356
"watch",150,0.0667642412698035
"watch",200,0.0615953803048016
"watch",250,0.0510809063784378
"watch",300,0.0467203673419258
"watch",350,0.0446735950187136
"watch",400,0.040047421916613
"watch",450,0.0350583957334483
"watch",500,0.0297508215717606
"watch",550,0.0256829651118227
"watch",600,0.024135920250668
"watch",650,0.0228891907259206
"watch",700,0.021706684520276
"watch",750,0.0186449440066946
"watch",800,0.0187249266247728
"watch",850,0.0179250744798993
"watch",900,0.0173698811746238
"watch",950,0.0165581725818319
"watch",1000,0.0160745066032247
"watch",1050,0.0127927305129066
"watch",1100,0.0113730680265067
"watch",1150,0.0109485307623827
"watch",1200,0.00923468422650943
"watch",1250,0.00899007751887508
"watch",1300,0.00880520147998275
"watch",1350,0.00838023585866885
"watch",1400,0.00841052411004918
"watch",1450,0.00828830635037619
"watch",1500,0.00834008093757411
"watch",1550,0.00750681534099784
"watch",1600,0.00724072133740109
"watch",1650,0.00717291664158004
"watch",1700,0.00682823777708754
"watch",1750,0.00646995193940331
"watch",1800,0.00697139732982518
"watch",1850,0.00711846547272734
"watch",1900,0.00698781312802354
"watch",1950,0.00732316558583701
"watch",2000,0.00594973158122097
"watch",2050,0.00557461443747403
"watch",2100,0.00541637601910211
"watch",2150,0.00518850469148531
"watch",2200,0.00572025848989677
"watch",2250,0.0051443557601358
"watch",2300,0.00510282169734075
"watch",2350,0.00493720252580643
"watch",2400,0.00560198932991028
"watch",2450,0.00519158715054485
"watch",2500,0.00473398797752786
"watch",2550,0.00540907722833213
"watch",2600,0.00494653421540979
"watch",2650,0.00495500420164643
"watch",2700,0.00494083025189895
"watch",2750,0.00481566268206312
"watch",2800,0.00442965937328148
"watch",2850,0.00441189688100535
"watch",2900,0.00415116538135834
"watch",2950,0.00361842012002631
